drug,gene_name,mechanism,esm_lr_auroc,rank,total_genes,percentile,imputed_esm_lr_auroc,imputed_rank,imputed_total_genes,onehot_determinant,onehot_auroc,esm_minus_onehot,imputed_minus_onehot,prevalence,n_pos
ciprofloxacin,aac(6')-Ib,acquired,0.6390117558010265,1447,2804,48.43081312410842,0.7817952665225157,425,2804,Flq (acquired),0.6776352197287714,-0.03862346392774485,0.10416004679374435,0.349,631
ciprofloxacin,oqxA,acquired,0.6323564483580993,1492,2804,46.82596291012838,0.683511563410736,1026,2804,Flq (acquired),0.6776352197287714,-0.045278771370672044,0.0058763436819646575,0.8155,920
ciprofloxacin,parE,mutation,0.5681363929373802,2041,2804,27.246790299572044,0.6733718388643414,1107,2804,Flq (mutations),0.9111708171574658,-0.3430344242200857,-0.23779897829312446,0.7295,641
ciprofloxacin,qnrB1,acquired,0.4904835390946502,2785,2804,0.7132667617689048,0.6095885823070415,1640,2804,Flq (acquired),0.6776352197287714,-0.1871516806341212,-0.0680466374217299,0.171,288
colistin,pmrB,mutation,0.6008271783611139,691,2810,75.44483985765125,0.5990861919682067,648,2810,Col (mutations),0.6495954913189711,-0.04876831295785722,-0.050509299350764425,0.9494845360824742,233
colistin,pmrA,mutation,0.5983966017716831,720,2810,74.41281138790036,0.5970461638127036,674,2810,Col (mutations),0.6495954913189711,-0.05119888954728802,-0.05254932750626751,0.9494845360824742,232
colistin,mcrA,acquired,0.5706540300546448,995,2810,64.62633451957296,0.6504544123784548,215,2810,Col (acquired),0.4974865921279883,0.07316743792665648,0.1529678202504665,0.5845360824742268,183
colistin,phoQ,mutation,0.5072892267456064,1998,2810,28.932384341637007,0.5763811457794776,925,2810,Col (mutations),0.6495954913189711,-0.1423062645733647,-0.07321434553949346,0.9185567010309278,202
colistin,phoP,mutation,0.500065595891823,2254,2810,19.822064056939503,0.5015385861203336,2345,2810,Col (mutations),0.6495954913189711,-0.14952989542714812,-0.14805690519863746,0.9484536082474226,233
ertapenem,ampC,mutation,0.818730794514684,34,2845,98.84007029876976,0.6683434577844516,639,2848,Omp (mutations),0.8339712785755949,-0.015240484060910942,-0.16562782079114335,0.4019138755980861,439
ertapenem,ampH,mutation,0.6645798764749262,794,2845,72.12653778558875,0.6491377152867835,794,2848,Omp (mutations),0.8339712785755949,-0.16939140210066872,-0.1848335632888114,0.9460013670539986,904
ertapenem,ompK36,mutation,0.6556527372853903,868,2845,69.52548330404218,0.5893090346506495,1376,2848,Omp (mutations),0.8339712785755949,-0.17831854129020464,-0.2446622439249454,0.1531100478468899,98
ertapenem,ompK37,mutation,0.6269955476223902,1081,2845,62.03866432337435,0.6561372375036971,742,2848,Omp (mutations),0.8339712785755949,-0.20697573095320476,-0.17783404107189782,0.8981544771018455,838
