gene_name,annotation,prevalence,lr_auroc_pyrazinamide,n_train,n_pos,kept_filtered
korA,,0.9985,0.5162476733761874,1995,996,False
fadD3,,0.996,0.5161364774995354,1990,996,False
pPE42,,0.988,0.51612201444177,1972,982,False
chaA,,0.995,0.5161056285443281,1991,996,False
egtA,,0.995,0.5160961064803019,1989,993,False
pncB2,,0.9975,0.5160309245028404,1990,994,False
esxC,,0.9885,0.5159799739378442,1976,984,False
ftsX,,0.99,0.5159378703130751,1989,996,False
htdZ,,0.9985,0.5157968589832317,1997,999,False
walK,,0.979,0.5157672053825634,1957,979,False
dcd,,0.9965,0.5157431936581668,1992,996,False
mak,,0.9985,0.5157414671929187,1998,999,False
pmt,,0.998,0.5157002315399938,1989,994,False
mbtA,,0.9965,0.5156248737404345,1990,994,False
gspF,,0.937,0.5155261147886812,1876,932,False
dnaE2,,0.992,0.5155179443272279,1981,990,False
nadB,,0.9945,0.5154598604667119,1991,997,False
fpg2,,0.998,0.515459027685466,1993,996,False
ispD,,0.9945,0.515449558303798,1994,997,False
xylB,,0.987,0.5153581423917379,1980,991,False
gnd,,0.9885,0.5153460796029047,1979,990,False
esxL,,0.3455,0.5152996552190374,688,344,False
ppiB,,0.9935,0.5152167376041106,1991,998,False
lON,,0.9955,0.5150925481679756,1990,995,False
cfp32,,0.944,0.5150819812685155,1883,942,False
nimA,,0.9965,0.5149896567328205,1990,992,False
shy1,,0.9985,0.5149722715239908,1995,998,False
fgd,,0.9955,0.5149680970622712,1993,997,False
fumC,,0.993,0.5149255613924268,1991,997,False
btlA,,0.991,0.5149122789026351,1975,992,False
spoIIM,,0.995,0.514862251810043,1995,999,False
malQ,,0.9895,0.5148546218290193,1980,991,False
prmC,,0.9895,0.5148484245533748,1985,994,False
ppx1,,0.999,0.514826373768165,1992,996,False
mbtI,,0.9975,0.5147588345349268,1992,996,False
leuC,,0.99,0.5147380145869571,1983,993,False
rfe,,0.994,0.5146733072501608,1985,994,False
bioD,,0.993,0.5145589835922163,1983,993,False
pE_PGRS34,,0.7545,0.5144732028534846,1509,781,False
sadH,,0.916,0.5144602048857368,1831,940,False
nuoI,,0.996,0.5144273180988748,1993,996,False
ruvA,,0.988,0.5143811450730533,1978,989,False
icd,,0.9875,0.5142362937322391,1981,993,False
zwf,,0.989,0.5142039443703005,1983,992,False
sepF,,0.991,0.5141823724605699,1986,994,False
fadB2,,0.995,0.5141492963305956,1988,995,False
cbs,,0.985,0.5141411792551744,1963,989,False
purN,,0.991,0.5141351920894797,1987,995,False
tgs4,,0.996,0.5141350172651445,1991,993,False
cysE,,0.9905,0.5141139225023648,1981,992,False
panE,,0.9945,0.5140655426120188,1987,998,False
atpB,,0.9895,0.5140616425827693,1984,994,False
fadE10,,0.9915,0.5140399160092145,1981,996,False
fadA,,0.9925,0.5140127071058884,1983,992,False
hAMP,,0.966,0.513852103749761,1924,957,False
prpB,,0.992,0.5138401816971612,1984,995,False
hisD,,0.9915,0.5137904727028594,1983,993,False
pknK,,0.98,0.5137396019779279,1960,979,False
rne,,0.992,0.513729415530636,1984,989,False
lpqO,,0.9945,0.5137030643072938,1987,993,False
lprP,,0.955,0.5136823819485953,1908,956,False
vapC1,,0.999,0.5135939549782296,1994,996,False
rdgB,,0.99,0.5135895858045658,1988,994,False
dprE1,,0.999,0.5135827209975508,1997,999,False
sucC,,0.9905,0.5135516291133084,1987,992,False
amiD,,0.996,0.5135147842123782,1989,993,False
abiEi,,0.9975,0.5134940449893327,1980,991,False
iscS,,0.9935,0.5134773286181735,1984,994,False
sthA,,0.9925,0.5134563506551459,1986,990,False
acyP,,0.994,0.5134251523266745,1985,991,False
tig,,0.99,0.5134144930125658,1985,994,False
gltB,,0.989,0.5134116956346246,1981,993,False
mutT1,,0.999,0.5133629153468227,1990,992,False
eccE3,,0.9975,0.513194746367653,1989,994,False
glpD2,,0.993,0.5131043577306422,1985,994,False
erg3,,0.995,0.5130990018839289,1983,996,False
cobB,,0.2925,0.5130871153138361,587,418,False
echA19,,0.879,0.5130849256236252,1754,918,False
speE,,0.989,0.5130738886761868,1982,994,False
ctpB,,0.9965,0.513030975867215,1989,993,False
mhpE,,0.996,0.5129186875427233,1983,991,False
wbbL,,0.9995,0.5129078156312625,1998,998,False
pknE,,0.999,0.5128543519199202,1993,995,False
hisJ,,0.9825,0.5128461872826626,1966,990,False
pE16,,0.9775,0.5128057446488441,1950,981,False
mcrA,,0.9965,0.5127893701143511,1995,998,False
gltA2,,0.9975,0.5127876105749546,1994,997,False
erm(37),,0.9915,0.51276907993442,1977,991,False
mpt70,,0.9985,0.5127677308292315,1991,993,False
pPE23,,0.994,0.5126853771166778,1987,994,False
pnbA,,0.9895,0.5126841302427534,1978,986,False
sirA,,0.9965,0.5126733062904886,1991,995,False
ffh,,0.9865,0.5126520808259442,1977,993,False
ogt,,0.981,0.512612834443123,1954,965,False
